display_order,wave_group,vendor,credential_name,class_code,class_label,status,availability,audience,coding_focused,focus_area,official_vendor_credential,notes,official_source_url,include_in_llmcerts,research_complete,owner_notes
1,Wave 1,OpenAI,AI Foundations,A,Official certification / exam,Current,Limited / rollout-based,General / job-ready AI learners,Mixed,General AI / LLM foundations,Yes,Core OpenAI credential; good anchor item for the catalog.,https://openai.com/index/openai-certificate-courses/,,,
2,Wave 1,OpenAI,OpenAI Certification,A,Official certification / exam,Current,Limited / rollout-based,General,Mixed,General AI / platform,Yes,Official broader credential path; rollout details may evolve.,https://openai.com/index/openai-certificate-courses/,,,
3,Wave 1,Anthropic,"Claude Certified Architect, Foundations",A,Official certification / exam,Current,Partner-only,Architects / technical partners,Yes,Claude / architecture,Yes,High-priority Claude credential; not generally self-serve yet.,https://www.anthropic.com/news/claude-partner-network,,,
4,Wave 1,Google,Google Cloud Generative AI Leader,A,Official certification / exam,Current,Public,Business / leadership,No,GenAI strategy / Google Cloud,Yes,Leadership-focused rather than hands-on development.,https://cloud.google.com/learn/certification/generative-ai-leader,,,
5,Wave 1,AWS,AWS Certified AI Practitioner,A,Official certification / exam,Current,Public,Foundational,Mixed,AI / ML / genAI foundations,Yes,Broad AWS AI baseline credential.,https://aws.amazon.com/certification/certified-ai-practitioner/,,,
6,Wave 1,AWS,AWS Certified Generative AI Developer – Professional,A,Official certification / exam,Current,Public,Developers / engineers,Yes,GenAI development / Amazon Bedrock,Yes,One of the strongest platform-specific builder credentials.,https://aws.amazon.com/certification/certified-generative-ai-developer-professional/,,,
7,Wave 1,GitHub,GitHub Copilot Certification,A,Official certification / exam,Current,Public,Developers,Yes,Copilot / AI coding,Yes,Official GitHub credential focused on Copilot usage.,https://learn.microsoft.com/en-us/credentials/certifications/github-copilot/,,,
8,Wave 1,Microsoft,Azure AI Fundamentals (AI-900),A,Official certification / exam,Current,Public,Foundational,Mixed,Azure AI / genAI foundations,Yes,Includes generative AI workloads.,https://learn.microsoft.com/en-us/credentials/certifications/azure-ai-fundamentals/,,,
9,Wave 1,Microsoft,Azure AI Engineer Associate (AI-102),A,Official certification / exam,Current,Public,Engineers / developers,Yes,Azure AI engineering / genAI,Yes,Includes implementing generative AI and agentic solutions.,https://learn.microsoft.com/en-us/credentials/certifications/azure-ai-engineer/,,,
10,Wave 1,Microsoft,AI Business Professional,A,Official certification / exam,Current,Public,Business users / leaders,No,Business AI,Yes,Business-facing AI credential.,https://learn.microsoft.com/en-us/credentials/certifications/ai-business-professional/,,,
